City State Population PopChange PopDens Under5 Over65 Asian Black Hispanic Birth InfantD CarD HeartD Income Poverty Unemploy Grants BankpP HousepP
Abilene__TX_MSA TX 121456 1.5 132.6 8.2 12.4 1.8 6.8 17.4 16.7 6.4 6.6 379.2 18572 17.6 4.9 6419 9178.6 17.2
Albany__GA_MSA GA 117674 4.5 171.7 8 9.3 0.6 48.1 1.2 15.9 11.9 16.5 260 17371 25.1 6 5249 7178.3 41.5
Albany_Schenectady_Troy__NY_MSA NY 876420 1.7 272 7 14.6 1.7 5.1 2.1 13.1 6 10 429.9 22701 10.5 4.6 7900 13008.1 22.1
Albuquerque__NM_MSA NM 674837 14.5 113.5 7.6 10.7 1.9 3.3 38.4 15.8 10.3 20 222.9 19890 17.9 5.3 7592 7145.6 46.4
Alexandria__LA_MSA LA 126491 -3.9 95.6 7.3 12.5 0.9 29.9 1.3 15.3 11.9 17.6 401.8 17801 24.1 6.8 5726 8561.1 11.6
Allentown_Bethlehem_Easton__PA_MSA PA 613836 3.2 556.4 6.3 16 1.5 2.5 5.8 12.1 7.8 15.2 423.4 21826 9 5.5 3870 11592.2 26.1
Altoona__PA_MSA PA 130923 0.3 249 5.8 17.6 0.4 1 0.4 11.6 11 18.3 561.5 18051 15.1 5.7 4692 10677.3 17.4
Amarillo__TX_MSA TX 208165 11 114.1 8.1 11.7 2.4 5.9 16 16.4 11 21.9 365.2 19791 16.5 3.9 5076 9230.2 13.6
Anchorage__AK_MSA AK 251047 10.9 147.9 7.7 4.7 5.9 6.2 4.7 18.5 7.3 14.3 99.8 27031 9.4 5.5 6758 7637.2 24.3
Anniston__AL_MSA AL 117092 0.9 192.4 6.5 12.9 0.9 19.1 1.4 14.3 7.5 24.2 411.8 16247 18 6.2 7200 9222.7 13.7
Appleton_Oshkosh_Neenah__WI_MSA WI 342154 8.6 244.6 6.7 12 1.6 0.4 1 13.6 4.4 10.5 319.4 21182 6.6 2.8 3212 7635.7 49.4
Asheville__NC_MSA NC 211284 10.2 191.1 6.2 16.9 0.6 7.8 1.1 12 9.4 11.6 430.2 19768 13.6 3.4 4526 8923.5 39.9
Athens__GA_MSA GA 138523 9.7 234.4 6.5 9.4 2.6 22.8 2.2 12.9 11.1 19.3 254.6 18148 19 3.1 3943 8470.8 59.4
Atlanta__GA_MSA GA 3627184 22.6 592.1 7.6 7.9 2.6 25.8 3 16.2 8.5 15.6 239 23633 13.4 3.8 4337 10987.7 69.9
Augusta_Aiken__GA_SC_MSA GA 457228 10.1 186.7 7.5 9.9 2 32.9 2.1 15.4 9 16.7 349.2 18746 16.6 6.7 7527 6806.9 37.6
Austin_San_Marcos__TX_MSA TX 1071023 26.6 253.4 8 8 3 10 24.3 16.2 5.3 18 203.4 20611 14.3 3 5082 6432.5 56.9
Bakersfield__CA_MSA CA 628605 15.3 77.2 10.1 9.9 4.4 6.4 33.8 20.6 11.2 22.3 286.4 16506 21.8 12.7 5004 3949.9 40.6
Bangor__ME_NECMA ME 143300 -2.3 42.2 5.4 12.2 0.8 0.4 0.6 11 5 15.1 338.2 18291 15.2 5.3 4508 9164.7 17.7
