ID SLength SWidth Femur Tibia Humerus Ulna Age
1 40.5 31.2 77 81.5 124 79.2 2513
2 40.3 31 76.9 80.3 116.5 78.6 2158
3 38.9 30.5 78.4 74.8 111 72.2 1819
4 37.6 29.2 77.7 73.2 100.5 73.6 342
5 39.7 30.8 77.6 78.2 118 76.3 1467
6 39.1 30.8 78.8 80.6 118 80 1757
7 38.3 29.8 77.8 74 108.5 72.3 759
8 39 29.8 76.4 77.1 118 75.4 758
9 39.8 31.1 78.2 82.9 122.5 80.8 1089
10 39.7 31 78.1 78.6 119 76.2 1022
11 40.2 30.1 74.9 75.5 116 75.6 363
12 39.7 30.4 76.6 78.9 117 77.9 389
13 38.8 30.8 79.4 77.2 116 75.6 397
14 38.9 30.2 77.6 78.8 118 75.9 704
15 39 30.6 78.5 79.9 119.5 78.3 833
16 35.6 29 81.5 71.7 107 70.4 362
17 39.5 29.7 75.2 77.7 118 75.4 741
18 38.8 28.6 73.7 70.4 108 71.8 364
19 39.3 30.2 76.9 75.6 114 74.8 383
20 37.7 29.8 79.1 72.9 112 72.5 294
21 37.8 31.2 82.6 76 112.5 74.6 399
22 39.6 29.9 75.5 78.3 115.5 73.7 860
23 40 29.9 74.8 77.8 111.5 74.6 346
24 40.3 29.9 74.2 76.4 116.5 78.2 654
25 39.3 29.8 75.8 78.7 117.5 74.8 682
26 37.4 29 77.5 75.9 112 74 372
27 38.5 30.5 79.2 76.7 114 75.2 308
28 40.2 30 74.6 78.2 120 76.5 758
29 37.1 29 78.2 71.6 106.5 72.4 346
30 35.9 28.6 79.7 74.5 110 72.5 391
31 36.8 29.4 79.9 72.3 114.5 70.7 271
32 42.4 32.7 77.1 87.7 130.5 85 1105
33 39.3 29.9 76.1 81.3 121 77.6 701
34 38.3 30.1 78.6 74.3 110.5 72.6 309
35 40.2 31.3 77.9 77.7 118 77.1 360
36 40.5 31.3 77.3 72.3 109 72.8 1251
37 39.4 30 76.1 76.7 114 75 353
38 40.5 31.5 77.8 78.9 119 75.9 344
39 37.2 29.6 79.6 75.8 107.5 72.5 783
40 40.6 31.4 77.3 78.8 118.5 77.5 284
41 39.3 29.6 75.3 78.2 115.5 77.9 377
42 36.3 28.2 77.7 76 109 72.9 385
43 39.3 30 76.4 79.2 116 77.4 287
44 39.3 30.3 77.1 76.7 115.5 75.9 366
45 37.8 28.7 75.9 72.5 107.5 70.6 788
46 38 29 76.3 76.5 112.5 75.1 365
47 37.8 29.4 77.8 73.8 108.5 72.4 271
48 40.6 30.3 74.6 79 117 77.4 395
49 39.2 29.8 76 75.1 112.5 73.2 694
50 38.8 31.3 80.7 82.9 123.5 78.1 385
51 36.9 30.1 81.6 72.8 109.5 71.5 794
52 38.7 29.7 76.7 79.9 117.5 76.6 389
53 40.2 30.9 76.9 80.1 120 76.5 282
54 39.1 30.5 78 77.4 116 75.9 299
55 39.8 30.4 76.4 78 116.5 76.5 300
56 37.7 29.8 79 78 115 74.6 262
57 39.6 30.5 77 81 120 79.4 844
58 39.2 29 74 77.5 117.5 77.4 367
59 40.4 31.1 77 79.3 117.5 79 225
60 38.4 29.7 77.3 76.7 111 74.7 219
61 40.1 30.1 75.1 78.8 117.5 78.6 387
62 40.5 30.7 75.8 84 124 80.1 850
63 40.1 30 74.8 80 122 77 264
64 41.2 30.3 73.5 85 126.5 81 357
65 39.8 30.4 76.4 80.1 116 76.8 274
66 39.5 30.1 76.2 77.8 115 74.9 615
67 39.5 30.1 76.2 80.9 118.5 76.8 346
68 36.7 28.8 78.5 76.6 114.5 75 1146
69 39 29.7 76.2 79.6 122 77.6 229
70 37.9 28.5 75.2 76.8 113.5 74.3 297
71 38.3 30.7 80.2 74.8 111.5 72.1 291
72 37.9 27.9 73.6 75.6 112 75.3 352
73 36.2 27.9 77.1 75 108 70.9 338
74 37.4 29.6 79.1 80.1 121 75.7 214
75 37.6 29 77.1 77.7 114 74.2 346
76 37.7 31.2 82.8 79.1 116.5 76.2 287
77 37.3 28.5 76.4 72.9 111 73.2 314
78 39.3 30.3 77.1 77.5 116.5 75.3 1550
79 39 30.5 78.2 76.2 111 70.5 1085
80 39.6 28.5 72 76.6 115.5 74.2 500
81 37.8 30.2 79.9 75.2 114 74.4 450
82 38.2 29.9 78.3 80.5 120.5 75.7 428
83 38.3 29.7 77.5 76.8 113 74 399
84 37.2 28.4 76.3 74.9 109.5 72.3 359
85 39.8 29.7 74.6 80.7 118 78.6 427
86 38.2 30.5 79.8 76.2 113.5 73.9 714
87 37.5 29 77.3 74.6 109.5 72.8 522
88 39.8 30.2 75.9 84.9 125 78.4 266
89 37.4 30 80.2 75.8 114.5 73.5 677
90 38.5 29.3 76.1 77.8 113.5 73.9 675
91 39.6 30.4 76.8 78.2 118 75.7 302
92 37.8 28.7 75.9 76.6 112 74.3 526
93 37.4 28.8 77 80.7 120 78.3 356
94 40.4 30.6 75.7 80.2 115 75.6 350
95 39.4 31.4 79.7 79.6 117.5 75.4 292
96 39.6 31 78.3 80.7 119 76.8 364
97 39.4 30 76.1 82.6 123 74.4 377
98 39 30.2 77.4 77.8 116 74.7 519
99 39.3 29.9 76.1 74.5 110.5 71.6 378
100 36.2 29.2 80.6 74.2 109 72 347
101 39.6 30 75.8 76.7 114.5 74.7 718
102 39.1 29.4 75.2 77.7 116 79.7 519
103 38 28.7 75.5 75.8 115.5 76.2 464
104 36.8 27.3 74.2 73.3 109 70.3 519
105 36.6 28.3 77.3 73.4 108.5 70.1 532
106 38.1 29.2 76.6 76 113 71.3 519
107 39.6 30.8 77.8 82.4 121 79 352
108 39.6 29.9 75.5 80.2 118.5 77.4 460
109 39.2 29.2 74.5 77.2 115 74.5 519
110 39.3 29.4 71.9 75.7 113.5 73.4 265
111 37.3 29.4 78.8 75.3 112 72.5 420
112 37.8 29.5 78.1 74.6 113 71.7 508
113 37.5 28.8 76.8 73.2 110 69.8 377
114 36.5 29.8 81.7 78.6 117 76.6 272
115 36.7 27.1 73.8 74.2 108.5 71 509
116 36.3 29.4 81 73 108 70 375
117 37 28.6 77.3 79.7 113 73.2 336
118 39.2 29.7 75.8 82.8 126.5 78 319
119 38.2 29.1 76.2 78.8 116.5 74.8 502
120 36.3 28 77.1 74.6 109 70.7 430
121 38.3 29.6 77.3 77.2 114 71.9 361
122 37.7 29.9 79.3 80.3 117 75.8 450
123 37.3 28.6 76.7 72 106.5 69.4 385
124 37.3 29.1 78 76.2 115 73.6 376
125 38.3 29.5 77 76.1 118.5 73.5 409
126 41.4 30.5 73.7 82.3 123 78.7 370
127 40.9 30.6 74.8 77.2 114.5 76.2 358
128 37.6 30.5 81.1 81.1 122 77.2 284
129 39.3 30.6 77.9 78.4 118 76.4 718
130 37.9 30.1 79.4 82.5 121.5 75.7 295
131 38.3 28.8 75.2 78.6 112 72.6 348
132 40.3 29.8 73.9 80.7 124 78.2 240
133 40.3 30.4 75.4 76.4 115 73.9 289
134 37.9 29.5 77.9 74.9 111.5 71.8 798
135 35.9 27.9 77.7 76.4 110 72.2 263
136 38.5 28.7 74.5 77.4 117 74.6 308
137 38.6 30 77.7 80.3 118 77.2 508
138 40 30.5 76.2 84.9 127 79.1 315
139 39.9 31.4 78.7 75.5 116.5 73.8 320
140 39.7 30 75.6 87.3 128.5 81.5 204
141 38.5 28.9 75.1 77.1 113.5 73 330
142 37.3 29.2 78.3 76.9 115.5 72.9 269
143 37.8 28.9 76.5 79.2 118 74.7 283
144 39.1 30.4 77.8 83.2 123 79 299
145 39.9 28.2 70.7 82.7 124 79.6 351
146 39.5 29.5 74.7 80.8 120 76.1 322
147 38.3 30.7 80.2 81.3 119 77.8 265
148 40.3 30.3 75.2 84.5 125.5 79.3 245
149 39.4 30 76.1 78 112.5 74.4 355
150 40.2 29.7 73.9 77.8 116.5 75.3 369
151 38.7 28.7 74.2 79.9 117 74.9 338
152 39.6 31.1 78.5 78.6 116.5 75.5 487
153 38.4 29.6 77.1 74 109 71.9 429
154 39.1 29.3 74.9 75.7 115 73.4 462
