Day Interval Duration Height
1 54 2 104
1 98 4 120
1 47 1.833 125
1 103 4.233 125
1 76 3.833 130
1 84 3.833 140
1 76 4.533 140
1 92 4.7 162
2 75 3.267 110
2 83 3.35 115
2 80 3.567 130
2 91 4.25 140
2 93 4.3 140
2 86 4.467 140
2 69 2.75 145
3 94 4.05 105
3 94 4.6 105
3 60 2.133 108
3 94 4.633 108
3 85 4.183 136
3 65 2.117 139
3 89 4.25 141
3 96 4.05 151
4 61 1.867 108
4 68 2.217 129
4 96 4.683 129
4 93 3.7 130
4 98 4.1 130
4 86 4.533 140
4 88 4.167 155
4 52 1.833 160
5 94 4.117 105
5 95 4.233 105
5 93 4.383 110
5 54 1.7 120
5 85 4.5 125
5 58 2.25 130
5 53 1.917 137
5 67 2.3 138
5 53 1.883 142
6 87 4.417 108
6 67 2.567 110
6 88 4.633 130
6 52 1.933 139
6 88 4.033 140
6 86 4.217 140
6 112 4.3 140
6 89 4.117 147
6 61 2.583 150
7 95 4.033 110
7 48 1.833 130
7 95 4.383 130
7 96 4.75 130
7 52 1.967 135
7 55 2.017 135
7 75 3.4 140
7 87 4.25 142
7 91 4.433 155
8 85 4.05 108
8 62 1.917 130
8 92 4.45 130
8 53 1.85 139
8 84 3.717 140
8 93 4.35 140
8 107 4.583 140
8 75 2.117 145
8 90 4.5 150
9 93 4.35 110
9 94 4.483 130
9 95 4.333 135
9 90 3.367 138
9 54 2.017 139
9 62 1.75 140
9 56 1.667 155
9 61 1.8 180
10 80 4.333 125
10 64 1.5 129
10 61 2.033 132
10 87 4.083 137
10 84 3.833 140
10 94 4.633 140
10 80 4.083 150
10 92 5 155
11 100 4.583 105
11 87 4.467 115
11 86 4.517 130
11 55 2.117 140
11 73 2.2 140
11 89 4.283 140
11 53 2.25 145
11 53 1.833 153
11 92 4.317 160
12 52 1.883 110
12 63 2.15 110
12 61 2.5 110
12 86 4.267 110
12 94 4.4 110
12 99 4.667 130
12 94 4.167 140
12 51 2.033 145
13 68 2.033 110
13 58 1.783 131
13 94 4.467 137
13 63 1.917 140
13 76 4.017 140
13 92 4.2 140
13 96 4.383 150
13 102 4.483 153
14 66 2.033 130
14 64 1.833 139
14 74 1.6 140
14 54 1.7 140
14 88 4.317 142
14 92 4.25 160
14 83 4.4 160
15 83 4.667 105
15 60 1.633 108
15 87 4.417 110
15 93 4.417 129
15 77 4.033 130
15 59 1.733 139
15 83 3.167 140
15 79 4 140
15 57 2.083 150
16 53 1.75 110
16 54 1.683 140
16 90 4.333 141
16 62 1.633 145
16 50 1.767 148
17 100 4.15 96
17 61 1.833 140
17 50 2 140
17 90 3.883 140
17 86 4.117 140
17 91 4.467 143
17 64 1.8 150
17 91 4.367 153
18 65 1.75 110
18 58 1.9 110
18 97 4.5 120
18 52 1.667 125
18 88 4.333 125
18 90 4.6 150
19 90 4.833 125
19 94 4 130
19 82 4.083 130
19 89 4.533 130
19 80 2.833 133
19 54 1.883 139
19 93 4.383 154
20 52 1.867 135
20 58 1.983 140
20 79 3.867 140
20 89 4.283 140
20 106 4.467 141
20 87 3.883 145
20 91 4.033 145
20 56 1.917 150
21 85 3.95 100
21 56 1.95 120
21 58 1.9 130
21 62 2.067 130
21 65 2.117 130
21 92 4.433 130
21 91 4.767 139
21 91 4.5 140
21 98 4.533 140
21 88 4.617 140
21 57 2.117 160
22 64 2.15 120
22 76 2.567 130
22 85 4.567 130
22 61 2.1 139
22 89 4.433 140
22 100 4.533 140
22 79 3.917 142
22 91 4.533 155
23 87 4.617 108
23 98 4.633 115
23 103 4.433 125
23 57 1.65 130
23 93 4.617 137
23 52 1.767 150
23 56 1.85 150
23 59 2.067 155
23 89 3.967 155
24 60 1.9 135
24 56 2.2 139
24 51 1.583 140
24 68 2.033 140
24 104 4.283 140
24 92 4.5 140
24 58 1.5 149
24 90 4.517 150
24 94 4.45 160
25 59 1.767 108
25 63 2.217 130
25 99 4.367 130
25 90 4.367 135
25 56 1.75 140
25 59 1.9 150
25 94 4.1 153
25 101 4.533 155
26 92 4.467 106
26 62 1.55 108
26 83 4.267 110
26 64 1.75 130
26 53 1.867 130
26 93 4.733 130
26 62 1.767 135
26 94 4.45 150
26 96 4.75 150
27 62 1.817 125
27 79 2.783 130
27 87 4.55 130
27 68 2.233 135
27 89 4.117 140
27 68 2.2 141
27 51 1.967 145
27 87 4.217 145
27 93 4.533 152
28 85 3.667 88
28 85 4.533 95
28 97 4.267 105
28 49 2.05 110
28 91 4 110
28 59 1.65 139
28 59 1.983 140
28 90 4.333 140
28 90 4.533 153
29 86 4.133 108
29 99 4.417 110
29 52 2.083 135
29 86 4.5 135
29 60 1.867 140
29 99 4.167 140
29 57 1.667 143
29 48 1.95 145
30 101 4.3 110
30 94 4.517 110
30 82 4.633 130
30 54 1.9 135
30 91 4.383 139
30 66 2.25 140
31 113 4.117 100
31 53 1.667 109
31 83 3.967 110
31 103 4.433 130
31 58 2.35 138
31 90 4.45 139
31 77 4 150
31 53 1.95 160
